state,parents.13,other.13
Alabama,0.23,0
Alaska,0.78,0
Arizona,1.06,1
Arkansas,0.16,0
California,1.06,0
Colorado,1.06,0.2
Connecticut,1.91,0.7
Delaware,1.2,1.1
District of Columbia,2.06,2.11
Florida,0.56,0
Georgia,0.48,0
Hawaii,1.38,1
Idaho,0.37,0
Illinois,1.39,0
Indiana,0.24,0
Iowa,0.8,0
Kansas,0.31,0
Kentucky,0.57,0
Louisiana,0.24,0
Maine,2,0
Maryland,1.22,0
Massachusetts,1.33,0
Michigan,0.64,0
Minnesota,2.15,0.75
Mississippi,0.29,0
Missouri,0.35,0
Montana,0.54,0
Nebraska,0.58,0
Nevada,0.84,0
New Hampshire,0.47,0
New Jersey,2,0
New Mexico,0.85,0
New York,1.5,1
North Carolina,0.47,0
North Dakota,0.57,0
Ohio,0.96,0
Oklahoma,0.51,0
Oregon,0.39,0
Pennsylvania,0.58,0
Rhode Island,1.81,0
South Carolina,0.89,0
South Dakota,0.5,0
Tennessee,1.22,0
Texas,0.25,0
Utah,0.42,0
Vermont,1.91,1.6
Virginia,0.3,0
Washington,0.71,0
West Virginia,0.31,0
Wisconsin,2,0
Wyoming,0.5,0
