state,pct.change.10.to.20
Alabama,5.1
Alaska,3.3
Arizona,11.9
Arkansas,3.3
California,6.1
Colorado,14.8
Connecticut,0.9
Delaware,10.2
District of Columbia,14.6
Florida,14.6
Georgia,10.6
Hawaii,7
Idaho,17.3
Illinois,-0.1
Indiana,4.7
Iowa,4.7
Kansas,3
Kentucky,3.8
Louisiana,2.7
Maine,2.6
Maryland,7
Massachusetts,7.4
Michigan,2
Minnesota,7.6
Mississippi,-0.2
Missouri,2.8
Montana,9.6
Nebraska,7.4
Nevada,15
New Hampshire,4.6
New Jersey,5.7
New Mexico,2.8
New York,4.2
North Carolina,9.5
North Dakota,15.8
Ohio,2.3
Oklahoma,5.5
Oregon,10.6
Pennsylvania,2.4
Rhode Island,4.3
South Carolina,10.7
South Dakota,8.9
Tennessee,8.9
Texas,15.9
Utah,18.4
Vermont,2.8
Virginia,7.9
Washington,14.6
West Virginia,-3.2
Wisconsin,3.6
Wyoming,2.3
