state,real.per.capita.personal.income
Alabama,42010
Alaska,55466
Arizona,40235
Arkansas,44095
California,47491
Colorado,50254
Connecticut,62124
Delaware,46908
District of Columbia,63564
Florida,43817
Georgia,42966
Hawaii,42368
Idaho,40851
Illinois,50192
Indiana,45290
Iowa,49950
Kansas,51212
Kentucky,42163
Louisiana,46963
Maine,45787
Maryland,50717
Massachusetts,57340
Michigan,44085
Minnesota,51753
Mississippi,40144
Missouri,45689
Montana,45340
Nebraska,54103
Nevada,42744
New Hampshire,52478
New Jersey,53254
New Mexico,39827
New York,51565
North Carolina,43823
North Dakota,63104
Ohio,46836
Oklahoma,51540
Oregon,43052
Pennsylvania,50322
Rhode Island,47874
South Carolina,41743
South Dakota,53856
Tennessee,44719
Texas,48987
Utah,39622
Vermont,49298
Virginia,49591
Washington,49895
West Virginia,41592
Wisconsin,48519
Wyoming,59527
